manufacturer_name,model_name,production_start_date,production_end_date,recall_start_date,affected_count,recall_reason,vehicle_type
메르세데스 벤츠,ML280 CDI,2006-04-18,2009-03-18,2012-01-09,529,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",SUV
메르세데스 벤츠,ML300 CDI,2009-07-15,2011-04-06,2012-01-09,554,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",SUV
메르세데스 벤츠,GLK220 CDI,2009-06-05,2011-05-31,2012-02-20,1214,"디젤연료 내에 이물질을 걸러내 주는 장치(히터내장형 연료필터)에서 연료가 누유되는 결함이 발생하여 이 연료가 뒤따라오는 자동차의 바퀴와 도로 사이에 묻어 운전자가 의도한 대로 방향조정이 되지 않아, 자신의 차량은 물론 다른 차량의 안전운행에 지장",SUV
BMW,X5M,2011-05-25,2011-05-26,2012-05-04,2,엔진의 터보차저 냉각을 위한 보조 냉각수 펌프 내 전기스위치에서 단락에 의한 과열로 화재 가능성이 있어 안전운행에 지장,SUV
기아,모하비,2008-05-02,2009-07-13,2012-06-04,3182,설정속도(약64km/h) 이상에서 충돌 사고 시 운전자의 발목 부상을 줄이기 위해 브레이크 페달이 파손되게 제작되었으나 설정속도 이하 충돌 사고 시에도 파손되어 제동불량으로 2차 사고의 가능성으로 안전운행에 지장,SUV
BMW,X5,2012-05-04,2012-05-25,2012-07-13,17,파워핸들 기어박스에서 오일이 누유되어 주행중 핸들이 무거워지거나 화재의 위험이 있어 안전운행에 지장,SUV
혼다코리아,CR-V,2011-06-29,2012-06-15,2012-08-01,990,운전석 문 잠금장치 결함으로 충돌 사고 시 문이 열릴 수 있어 안전운행에 지장,SUV
토요타,토요타 RAV4 2WD,2009-09-01,2010-08-27,2012-08-30,223,뒷바퀴 정렬 후 바퀴정렬장치(타이로드)가 덜 조여지는 경우 타이로드가 마모되어 분리될 수 있고 이 경우 운전자가 의도한 방향으로 운행이 되지 않아 안전운행에 지장,SUV
토요타,토요타 RAV4 4WD,2009-02-27,2010-08-31,2012-08-30,626,뒷바퀴 정렬 후 바퀴정렬장치(타이로드)가 덜 조여지는 경우 타이로드가 마모되어 분리될 수 있고 이 경우 운전자가 의도한 방향으로 운행이 되지 않아 안전운행에 지장,SUV
BMW,X5,2006-12-11,2010-02-19,2012-12-17,1579,벨트를 걸어 회전시켜주는 팬벨트 풀리의 고정 볼트결함으로 운행 중 풀리가 고정되지 않고 풀릴 수 있고 이 경우 팬벨트가 파워핸들 유압펌프를 회전시키지 못해 주행 중 핸들이 무거워질 수 있어 안전운행에 지장,SUV
르노코리아,QM5,2011-01-27,2011-11-21,2012-12-21,1688,앞바퀴를 고정해 주는 로워암(트랜스버스 링크)의 용접불량으로 용접부위가 파손될 가능성이 있고 이 경우 조향이 되지 않아 안전운행에 지장,SUV
BMW,X5,2007-03-20,2009-12-14,2013-03-08,126,"엔진오일이 브레이크 부스터 내로 유입되어 부스터의 기능이 저하되어 브레이크 페달이 딱딱해 지고, 제동거리가 길어질 수 있어 안전운행에 지장",SUV
현대자동차,싼타페,2010-06-01,2011-06-30,2013-04-11,33667,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
기아,카렌스,2010-06-01,2010-07-30,2013-04-11,785,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,MPV/미니밴
기아,쏘렌토,2010-10-01,2011-04-10,2013-04-11,23421,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
BMW,x5 30d,2009-06-17,2009-11-05,2013-09-13,131,"겨울철 연료를 예열해 주는 히터(연료필터 내부에 장착)를 작동시키는 전기접점이 습기에 의한 고장으로 꺼지지 않아 배터리가 방전되어 시동이 걸리지 않거나, 과열로 화재가 발생될 가능성이 있어 안전운행에 지장",SUV
기아,그랜드 카니발,2007-06-21,2010-12-01,2013-10-01,4723,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,MPV/미니밴
기아,모하비,2007-11-01,2011-03-13,2013-10-01,22551,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
기아,스포티지,2010-01-28,2011-06-08,2013-10-01,49711,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
현대자동차,투싼,2009-09-07,2010-11-30,2013-10-01,69253,브레이크 스위치의 접촉 불량으로 인해 시동 불량과 제동등 점등 불량을 유발함은 물론 정속주행장치 및 차체자세제어장치가 정상적으로 작동되지 않을 수 있어 안전운행에 지장,SUV
혼다코리아,ODYSSEY,2006-07-18,2009-09-08,2013-11-20,1,"차량안정보조장치(VSA) 이상으로 제동을 하지 않아도 제동이 되며, 이경우 브레이크 등이 점등되지 않을 가능성이 있어 안전운행에 지장",MPV/미니밴
재규어랜드로버,프리랜더2,2012-01-09,2013-04-30,2014-01-20,465,연료인제션 리턴라인 커넥터 조인트와 연료 인젝션 스피것 사이 벌어질 가능성,SUV
토요타,토요타시에나2WD,2013-09-11,2014-01-02,2014-02-25,599,"시트 히터 직물의 난연성분이 부족하여, 안전기준을 만족하지 못 할 수도 있음",MPV/미니밴
토요타,토요타시에나4WD,2013-08-16,2014-01-03,2014-02-25,121,"시트 히터 직물의 난연성분이 부족하여, 안전기준을 만족하지 못 할 수도 있음",MPV/미니밴
재규어랜드로버,Range Rover 2.2D,2013-11-01,2014-01-31,2014-04-04,1,우후방 서스펜션 링크암을 너클에 고정시키는 장치가 변경되는 문제 발견,SUV
현대자동차,투싼,2011-01-01,2013-12-26,2014-05-20,122561,혼(경음기) 커버 체결 토크 작업 불량으로 주행시 혼 커버 이탈 가능성 및 이탈 시 에어백 성능에 영향이 있을 수 있음,SUV
재규어랜드로버,Range Rover 3.0D,2012-08-16,2013-03-18,2014-05-27,62,SRS에어백 커넥터가 주변 공간의 부족으로 커넉터가 눌려 에어백 성능에 영향이 있을 수 있음,SUV
재규어랜드로버,Range Rover 5.0SC,2012-08-16,2013-03-18,2014-05-27,41,SRS에어백 커넥터가 주변 공간의 부족으로 커넉터가 눌려 에어백 성능에 영향이 있을 수 있음,SUV
재규어랜드로버,Range Rover 4.4D,2012-08-16,2013-03-18,2014-05-27,26,SRS에어백 커넥터가 주변 공간의 부족으로 커넉터가 눌려 에어백 성능에 영향이 있을 수 있음,SUV
BMW,X5,2013-12-19,2014-03-10,2014-08-09,52,차일드 세이프티 로크가 작동 중에도 뒷좌석 내부에서 도어 핸들을 작동시키면 드문경우 뒷문의 잠금이 해제되어 문이 개방될 가능성을 배제할수 없으며 이로인해 경고등 및 메시지가 뜨며 경고음이 발생하여 운전자는 인지하게 됩니다 14.01.06~14.03.10:36대 13.12.19~14.03.05:16대,SUV
현대자동차,싼타페(DM),2012-05-03,2014-08-14,2014-08-14,140654,연료소비율 안전기준(제111조의4) 부적합,SUV
BMW,X5 3.0Si,2010-01-21,2010-01-21,2014-08-30,1,"가변밸브타이밍시스템이 오일 누유로 밸브타이밍을 원활하게 작동시키지 않을 가능성이 있으며, 이로 인해 엔진경고등 및 메시지가 뜨면 엔진이 안전모드로 진입 할 수 있으며 차량의 속도가 감속 될수 있음",SUV
